copula,n,estimator,ise_mean,ise_sd,bias_q0.01,bias_q0.05,bias_q0.50,bias_q0.95,bias_q0.99,var_q0.01,var_q0.05,var_q0.50,var_q0.95,var_q0.99
gaussian,500,canonical,0.03924622034368765,0.004645017494545933,-0.040305343021002346,-0.021077237014120568,0.023021689457831247,-0.0767990742239558,-0.06951615840346005,0.02316355746644051,0.003375472845823746,0.0028399482733863575,0.006177661110068681,0.03835288168668383
gaussian,500,nts_oracle,0.039780088389483104,0.0052502435829177045,-0.02435970999013417,-0.018044634838286045,0.02294083677226262,-0.07299643171418477,-0.051129505202770875,0.01696415787323644,0.0036292036315671385,0.002557853216179114,0.005012811450411524,0.03742182123865698
gaussian,500,nts_fitted,0.03942425945846531,0.004964013496595335,-0.035618667909750316,-0.019180876414173556,0.02401004552160743,-0.08111605852153703,-0.0467425469314958,0.021440384363242793,0.0037318843181740006,0.0026721005081123722,0.005665123336168579,0.040034174592761936
gaussian,1000,canonical,0.03754436666397241,0.006308110135932281,-0.045477961406235556,-0.03436339992067497,0.02647618187682231,-0.0620376204178187,-0.03476088628474637,0.018314790857409682,0.0042740141510782155,0.0012883837350158968,0.0071520195750123285,0.01706224398357798
gaussian,1000,nts_oracle,0.03800766909064148,0.006403151375958615,-0.05605831631418325,-0.03167827146634628,0.0257505757465829,-0.060150063814196984,-0.021314453672065463,0.02853407949146683,0.0044825705232936375,0.0013005857203318685,0.008025657839627439,0.015271772597173166
gaussian,1000,nts_fitted,0.03754850107764747,0.006275691130809167,-0.05356570974093975,-0.03573085516192313,0.026426595946422902,-0.06169480144168207,-0.02892435494002643,0.020091563208876045,0.004970696420897109,0.0013356376443391168,0.008422709545429423,0.013457927869579835
gaussian,2500,canonical,0.03736745329626753,0.004984220523705552,-0.027420389077221472,-0.02629677890732899,0.0317065817372872,-0.04954246715326256,-0.036874937896975046,0.007615668259386177,0.0024958686081576658,0.00045979408443274917,0.002491204064382175,0.01332280031969267
gaussian,2500,nts_oracle,0.03702458580432882,0.0048919726231902065,-0.03127502394381219,-0.03209824500453722,0.030065978951516997,-0.04431090380721015,-0.026621121705689497,0.008960217908597868,0.002699356630746847,0.0004535215186851178,0.002150894929560285,0.010526618963782791
gaussian,2500,nts_fitted,0.03710011224719221,0.0048472867151461855,-0.028065608546056442,-0.03547271927817579,0.030924069727463754,-0.0458938275367595,-0.023375275822265843,0.008762463269017792,0.0029885896392252047,0.000470004191964174,0.002224436906607217,0.011686648832288891
gaussian,5000,canonical,0.03519366729675922,0.006669293773095532,-0.057114461278887266,-0.027893910348675027,0.026283110884523005,-0.06904674103641473,-0.0380455885007183,0.011231347162493504,0.0016199362790710503,0.0004382883465434682,0.0018644251597200615,0.006841777404836325
gaussian,5000,nts_oracle,0.03525240272748988,0.006780495604008805,-0.06310969718509432,-0.03162064705978221,0.026235471112438635,-0.064322105876732,-0.03958541538735148,0.012080677331770737,0.0017219299107678028,0.0004386472570684883,0.002090495860126585,0.00605085636771345
gaussian,5000,nts_fitted,0.03521982267745302,0.006582302110229172,-0.062160394989409146,-0.0317698880198843,0.026731954780449856,-0.06715140511772308,-0.039756669076532934,0.012275482839276363,0.001712044621120644,0.00044246059774460635,0.002294248685627172,0.006069096198412174
clayton,500,canonical,0.05448669569325327,0.006839741331022759,-0.016812832455091634,-0.021885348674096517,-0.03903088615949194,0.03912436517184999,0.5824463325323681,0.0006838797401492975,0.0004612879555842,0.0010854407060702633,0.02873213344224063,0.23584556055237632
clayton,500,nts_oracle,0.05457526194845448,0.0068462479632360705,-0.045546553266568764,-0.020897646740595705,-0.04117257097864398,0.03494105849980363,0.609913777239285,0.05664419449482873,0.00040002596475648263,0.0009444403129279084,0.03570495599056523,0.22680978265213106
clayton,500,nts_fitted,0.0548136742663747,0.006871550241543866,-0.01139309613799965,-0.020482226537788598,-0.039003050583141456,0.03215738946774505,0.5975592775537121,0.0005147070613615502,0.0004502855026944174,0.0010382228136505776,0.035486176983075074,0.2434459632868227
clayton,1000,canonical,0.05185830717503709,0.007370820692594902,-0.04673244736062287,-0.014759885256332378,-0.03350802072056061,0.07125935329975186,0.6702410684012073,0.06905222474809014,0.00019057399101642163,0.001077068995646811,0.02851899863525756,0.20698651120197498
clayton,1000,nts_oracle,0.052568800462118495,0.007818792406965301,-0.038844053992492925,-0.012463407117620548,-0.03416931992818048,0.07276015290776942,0.6570659121368684,0.05981318903180111,0.0002572975445763881,0.0009523318023609887,0.03308103880850358,0.2162165555257618
clayton,1000,nts_fitted,0.05231178108465683,0.007726215539000361,-0.0048942649690211695,-0.013949409123494662,-0.03377308677790659,0.06753847796892705,0.6677132558354777,0.00021002608050443985,0.00020911267861424877,0.0010344391586888096,0.03144196255645004,0.21952887714891464
clayton,2500,canonical,0.047320350312161405,0.006400726036763421,-0.00333490768495631,-0.012097574525235943,-0.027493633560219218,-0.02309830139020417,0.5895851097752267,0.00012101528714033723,9.642413025643281e-05,0.0004791829245331125,0.016609596380363783,0.1884205196937855
clayton,2500,nts_oracle,0.04751393403522704,0.006384511562403135,-0.0029723052318651267,-0.011238986905923651,-0.02759731941361785,-0.02431633867757726,0.5586749345446769,0.0001464825099148522,7.992557570909408e-05,0.0004405500156456298,0.015519948630257303,0.21236211011064063
clayton,2500,nts_fitted,0.04713861074285694,0.0065034308575583405,-0.0038725988956669942,-0.011750423692826448,-0.02794856179229664,-0.02958620039054156,0.5444627859295589,0.0001355488248828749,8.77131037807958e-05,0.00047316290878844316,0.016369770482405267,0.21024373345436137
clayton,5000,canonical,0.04383571762057352,0.007015973814251129,-0.0038061594047787885,-0.006681255677537066,-0.021657756422626198,-0.06083129249784527,0.581199001882064,7.734452470924157e-05,2.6711856026845568e-05,0.0003100833974813016,0.02053700722175558,0.17519432056070947
clayton,5000,nts_oracle,0.04388707532648392,0.007427133008684089,-0.0022541968105871148,-0.005412702873905018,-0.02185945689629925,-0.07680642821319114,0.5686211020182425,7.232155242437861e-05,6.466940811162734e-05,0.0002790250948315514,0.021021011719867016,0.1764500422243785
clayton,5000,nts_fitted,0.04365135610183417,0.007033512651491232,-0.0018630173600262246,-0.006376476276883356,-0.021557968142873217,-0.07988156381529148,0.5545048348031859,8.823206055580003e-05,3.456492656371036e-05,0.0002863923509767035,0.02083140533807573,0.17912442384783422
t,500,canonical,0.06763647225903824,0.016589932617416033,-0.05680937574121293,-0.024608681097690113,-0.05620137735679537,-0.036160754507928224,-0.060826055238651616,0.0072281952068960955,0.0028165195455459088,0.0015412470818057561,0.0036398474847493196,0.008497955037844104
t,500,nts_oracle,0.06803777653883496,0.016656100230988975,-0.04914367294107811,-0.021566000544795808,-0.05757878449995833,-0.03391901251832808,-0.04409387862964413,0.005956795536345719,0.002699394406723458,0.0015462207881718386,0.0029500173930896473,0.005057167163594135
t,500,nts_fitted,0.06840391123981343,0.01688223424786653,-0.05554366459548607,-0.025325447078181244,-0.05669847635394901,-0.036335503142776365,-0.07068916016285408,0.007216502292123645,0.0030217519246563984,0.0015499271619667603,0.0030701227032063627,0.036932438119381385
t,1000,canonical,0.05693859690055286,0.011461838893300323,-0.05325689919963399,-0.03065094863723125,-0.04511682314687901,-0.03146777794455303,-0.0581622148199867,0.0039261792073614485,0.002002248466738109,0.0007674903831349875,0.0014422439077489903,0.0032661832663062333
t,1000,nts_oracle,0.05728937564330905,0.011924395041946154,-0.044081265415273796,-0.02791280202176839,-0.04610968383841836,-0.03377240765744125,-0.05376152033594286,0.004182105478276414,0.0016408657726720342,0.0007481413790473837,0.0017477197662563507,0.0030614830497501817
t,1000,nts_fitted,0.0571185123156922,0.011861117853337814,-0.045620570402531355,-0.029156589533489242,-0.04580435854791018,-0.03423342737386473,-0.05060662817938425,0.004110603352478891,0.002020933638784968,0.0007585560662278735,0.0018514832777315182,0.003485312776288007
t,2500,canonical,0.0477956086209938,0.00848093711491524,-0.031485589394911584,0.0015730712837686278,-0.03127657298550458,-0.015550632785691708,-0.04243777956720958,0.0018911630154191759,0.0006264337240192437,0.00037410171704784184,0.00046142285497240284,0.003327393526427621
t,2500,nts_oracle,0.04753792186929633,0.00927225649045296,-0.029202728470769167,0.002285715950900227,-0.03137060344643375,-0.014509658206815202,-0.037264723956836075,0.0024644875570328482,0.0006168293965693155,0.0003553068574316177,0.00042301228168742746,0.0028155676829017136
t,2500,nts_fitted,0.04793899772337149,0.00926150641298583,-0.04152624980083889,0.0013897950679545735,-0.031518568463112455,-0.015164023802194955,-0.037363882315201435,0.005111990520619977,0.0006002552032147174,0.0003650160687956097,0.0004912038073295545,0.003218443866275793
t,5000,canonical,0.04099674300531391,0.008243919325407956,-0.025768028519057618,0.0029712865267450227,-0.025011236489595006,-0.010598115380209692,-0.027525390535304596,0.0009632541814356272,0.0004946033953954944,0.0001805476635111615,0.0003972768301650657,0.0005556121335678716
t,5000,nts_oracle,0.04226102394988953,0.00928509036073092,-0.026577707015322777,0.0030557135830270045,-0.0249912547735988,-0.007818486696100411,-0.0250825232299255,0.0010867159468043433,0.000552780424363117,0.00014372763240065974,0.0005984714910461284,0.0007953510679184198
t,5000,nts_fitted,0.041583069071803515,0.008728926745608996,-0.028282990749100668,0.002268147386038315,-0.024798203910281265,-0.010173819517799337,-0.026385072120009463,0.0009078211304617576,0.0005589397433518983,0.00015658011085787946,0.00047455754637085694,0.0006740481771917908
gumbel,500,canonical,0.05507296999667138,0.008761326534529485,-0.12731732206414484,-0.027689372722740396,-0.03564509819250717,-0.030397686040670245,-0.018016273539767994,0.0840539083896384,0.010664513884035207,0.001255867036906297,0.0005659494219111369,0.0010188255481729735
gumbel,500,nts_oracle,0.05476910241019684,0.008774958106260191,-0.11930966882601181,-0.022261439178026966,-0.036798376388547466,-0.03343818197412736,-0.01280095732184197,0.11389458537533247,0.009959886104125164,0.001249994765825413,0.0005406611026824788,0.0009974816993070454
gumbel,500,nts_fitted,0.05505065601520382,0.008807312608004925,-0.10852776294309173,-0.025939546314063353,-0.03629034639013769,-0.032521974772010916,-0.011489824716300927,0.10089974525644844,0.011117173123763086,0.0012361734334418323,0.0006155487913170941,0.0011063610111744547
gumbel,1000,canonical,0.048123046557406256,0.006665006816614606,-0.045154346024338425,-0.006558997254320798,-0.039793235052443116,-0.03037866799653376,-0.015191447381952905,0.07712994469215534,0.005149910431989662,0.0009726602043723894,0.0010635503235390867,0.0013184186958426361
gumbel,1000,nts_oracle,0.04798429514050267,0.007045882456924468,-0.07208776064919667,-0.012556307876951294,-0.0402037000116029,-0.025246384922800555,-0.009956784055684233,0.10701281691720443,0.006514150516648194,0.0009069025578981765,0.0008776114895695486,0.0006259078907190549
gumbel,1000,nts_fitted,0.048247672610557825,0.00687057432023087,-0.05893955069606088,-0.01577787027345264,-0.04006390700280145,-0.02743105343502826,-0.039204747541092294,0.09182509326383144,0.006607049962013903,0.000967033122486736,0.0010843906540636931,0.03662165156218486
gumbel,2500,canonical,0.04130993136841397,0.00709071470148964,-0.04142678982512811,-0.030411120512480627,-0.01791612242593394,-0.018151046007811648,-0.010715182422835777,0.029349711312169957,0.003046157446184204,0.0003920268896321143,0.00033756939550944395,0.0013018864581104946
gumbel,2500,nts_oracle,0.041977656126709506,0.007528177499832544,-0.047768170744476174,-0.026819955441120973,-0.018020040332523246,-0.01480051926914904,-0.0024337311987185383,0.0339617481955192,0.0027513463005237548,0.00033521902569455503,0.00031911597819082394,0.0008470351054549023
gumbel,2500,nts_fitted,0.04157594239968306,0.007472792579169925,-0.053832829138458035,-0.0325723728032676,-0.01751760719283732,-0.018189840484965455,-0.030815858383838518,0.037639728479433,0.0030073001896240028,0.0003673984681493887,0.0003468501037714774,0.03647033806111937
gumbel,5000,canonical,0.04189556404431803,0.007140373823550554,-0.10455180897046448,-0.031674450253668454,-0.012233327165474745,-0.007297365181700612,-0.004064350666760588,0.029582396086956998,0.0020013125419060967,0.00030456441822939616,0.00021896397374244586,0.0003059734594677546
gumbel,5000,nts_oracle,0.041855053242239516,0.007648192936789072,-0.10717318963678393,-0.0359083415678233,-0.013000272311891287,-0.006326914110001016,-0.030752089539268557,0.037718465409311605,0.0027973912707649554,0.00029698071908090855,0.0002422764815967825,0.04241573293510926
gumbel,5000,nts_fitted,0.042144713029424886,0.007418149528867165,-0.11507467310722128,-0.03578575846786432,-0.013173259564308759,-0.007375463046139102,-0.0012444266084666532,0.04167395025042285,0.002724637454077586,0.00033454714342141573,0.0002843727934714425,0.00027396300486898944
